0.0299% is done | total is: 3745530968 | total time: 1125.247secs | previous time: 11.185secs
0.03% is done | total is: 3763853336 | total time: 1132.944secs | previous time: 7.697secs
0.0301% is done | total is: 3779916752 | total time: 1145.036secs | previous time: 12.092secs
0.0302% is done | total is: 3799677896 | total time: 1156.822secs | previous time: 11.786secs
0.0303% is done | total is: 3818051960 | total time: 1168.593secs | previous time: 11.770secs
0.0304% is done | total is: 3837596456 | total time: 1180.206secs | previous time: 11.613secs
0.0305% is done | total is: 3857914712 | total time: 1191.945secs | previous time: 11.739secs
0.0306% is done | total is: 3876829568 | total time: 1203.900secs | previous time: 11.954secs
0.0307% is done | total is: 3896365168 | total time: 1215.797secs | previous time: 11.897secs
0.0308% is done | total is: 3912594784 | total time: 1227.654secs | previous time: 11.857secs
0.0309% is done | total is: 3931895584 | total time: 1239.556secs | previous time: 11.902secs
0.031% is done | total is: 3951378784 | total time: 1251.164secs | previous time: 11.608secs
0.0311% is done | total is: 3971056672 | total time: 1262.923secs | previous time: 11.758secs
0.0312% is done | total is: 3990672160 | total time: 1275.394secs | previous time: 12.471secs
0.0313% is done | total is: 4010832088 | total time: 1287.166secs | previous time: 11.772secs
0.0314% is done | total is: 4030824760 | total time: 1300.086secs | previous time: 12.921secs
0.0315% is done | total is: 4047233848 | total time: 1311.981secs | previous time: 11.894secs
0.0316% is done | total is: 4066710888 | total time: 1323.728secs | previous time: 11.747secs
0.0317% is done | total is: 4086046944 | total time: 1337.504secs | previous time: 13.776secs
0.0318% is done | total is: 4107540504 | total time: 1349.614secs | previous time: 12.110secs
0.0319% is done | total is: 4127614992 | total time: 1360.802secs | previous time: 11.188secs
0.032% is done | total is: 4143751488 | total time: 1372.002secs | previous time: 11.201secs
0.0321% is done | total is: 4164344064 | total time: 1383.113secs | previous time: 11.111secs
0.0322% is done | total is: 4185294240 | total time: 1394.958secs | previous time: 11.845secs
0.0323% is done | total is: 4204371984 | total time: 1406.514secs | previous time: 11.555secs
0.0324% is done | total is: 4221655848 | total time: 1417.829secs | previous time: 11.316secs
0.0325% is done | total is: 4241379320 | total time: 1429.386secs | previous time: 11.556secs
0.0326% is done | total is: 4262868824 | total time: 1440.173secs | previous time: 10.788secs
0.0327% is done | total is: 4283336624 | total time: 1451.043secs | previous time: 10.870secs
0.0328% is done | total is: 4303407080 | total time: 1461.984secs | previous time: 10.941secs
0.0329% is done | total is: 4321174976 | total time: 1473.246secs | previous time: 11.263secs
0.033% is done | total is: 4340855936 | total time: 1484.401secs | previous time: 11.155secs
0.0331% is done | total is: 4361934728 | total time: 1495.361secs | previous time: 10.960secs
0.0332% is done | total is: 4381691096 | total time: 1508.136secs | previous time: 12.776secs
0.0333% is done | total is: 4400367680 | total time: 1516.345secs | previous time: 8.208secs
0.0334% is done | total is: 4421443576 | total time: 1526.933secs | previous time: 10.588secs
0.0335% is done | total is: 4441187152 | total time: 1539.863secs | previous time: 12.931secs
